name,surname,birth_date,height,role
Dean,Bouzanis,02/10/1990,185 cm,GK
Dean,Gordon,10/02/1973,183 cm,DF
Dean,Hammond,07/03/1983,183 cm,MF
Dean,Henderson,12/03/1997,188 cm,GK
Dean,Holden,15/09/1979,186 cm,DF
Dean,Holdsworth,08/11/1968,181 cm,FW
Dean,Kiely,10/10/1970,185 cm,GK
Dean,Leacock,10/06/1984,189 cm,DF
Dean,Marney,31/01/1984,183 cm,MF
Dean,Moxey,14/01/1986,180 cm,DF
Dean,Parrett,16/11/1991,178 cm,MF
Dean,Richards,09/06/1974,188 cm,DF
Dean,Saunders,21/06/1964,173 cm,FW
Dean,Sturridge,27/07/1973,173 cm,FW
Dean,Whitehead,12/01/1982,183 cm,MF
Dean,Windass,01/04/1969,178 cm,FW
Dean,Yates,26/10/1967,186 cm,DF
DeAndre,Yedlin,09/07/1993,173 cm,DF
Declan,John,30/06/1995,178 cm,MF
Declan,Rice,14/01/1999,185 cm,DF
Declan,Rice,14/01/1999,185 cm,MF
Declan,Rudd,16/01/1991,191 cm,GK
Deco,,27/08/1977,174 cm,MF
Dedryck,Boyata,28/11/1990,188 cm,DF
Dejan,Iliev,25/02/1995,195 cm,GK
Dejan,Lovren,05/07/1989,188 cm,DF
Dejan,Stefanović,28/10/1974,180 cm,DF
Del,Horno,19/01/1981,183 cm,DF
Dele,Alli,11/04/1996,188 cm,MF
Delroy,Facey,22/04/1980,182 cm,FW
Demarai,Gray,28/06/1996,183 cm,FW
Demba,Ba,25/05/1985,189 cm,FW
Demeaco,Duhaney,13/10/1998,180 cm,DF
Demetri,Mitchell,11/01/1997,181 cm,DF
Dene,Shields,16/09/1982,175 cm,FW
Denilson,,16/02/1988,178 cm,MF
Denis,Irwin,31/10/1965,173 cm,DF
Denis,Odoi,27/05/1988,178 cm,DF
Denis,Stracqualursi,20/10/1987,190 cm,FW
Denis,Suárez,06/01/1994,176 cm,MF
Dennis,Bergkamp,10/05/1969,183 cm,FW
Dennis,Cirkin,06/04/2002,182 cm,DF
Dennis,Praet,14/05/1994,181 cm,MF
Dennis,Rommedahl,22/07/1978,177 cm,FW
Dennis,Wise,16/12/1966,167 cm,MF
Dennon,Lewis,09/05/1997,178 cm,FW
Denny,Landzaat,06/05/1976,177 cm,MF
Deon,Burton,25/10/1976,178 cm,FW
Derek,Boateng,02/05/1983,180 cm,MF
Derek,Geary,19/06/1980,168 cm,DF
Derek,Lilley,09/02/1974,178 cm,FW
Derek,McInnes,05/07/1971,170 cm,MF
Derek,Niven,12/12/1983,183 cm,MF
Derek,Whyte,31/08/1968,180 cm,DF
Derrick,Williams,17/01/1993,180 cm,DF
Des,Hamilton,15/08/1976,180 cm,MF
Des,Lyttle,24/09/1971,175 cm,DF
Des,Walker,26/11/1965,180 cm,DF
Devante,Cole,10/05/1995,185 cm,FW
Devon,White,02/03/1964,191 cm,FW
Dexter,Blackstock,20/05/1986,183 cm,FW
DF,,,,
Diafra,Sakho,24/12/1989,184 cm,FW
Dickson,Etuhu,08/06/1982,192 cm,MF
Didier,Agathe,16/08/1975,178 cm,MF
Didier,Deschamps,15/10/1968,174 cm,MF
Didier,Digard,12/07/1986,184 cm,MF
Didier,Domi,02/05/1978,179 cm,DF
Didier,Drogba,11/03/1978,188 cm,FW
Didier,Ndong,17/06/1994,180 cm,MF
Didier,Zokora,14/12/1980,179 cm,MF
Diego,Cavalieri,01/12/1982,191 cm,GK
Diego,Costa,07/10/1988,188 cm,FW
Diego,Forlán,19/05/1979,179 cm,FW
Diego,Gavilán,01/03/1980,181 cm,MF
Diego,Lugano,02/11/1980,188 cm,DF
Diego,Penny,22/04/1984,197 cm,GK
Diego,Poyet,08/05/1995,186 cm,MF
Diego,Rico,23/02/1993,183 cm,DF
Diego,Tristán,05/01/1976,186 cm,FW
Dieter,Eckstein,12/03/1964,178 cm,FW
Dietmar,Hamann,27/08/1973,189 cm,MF
Dieumerci,Mbokani,22/11/1985,185 cm,FW
Dilan,Markanday,20/08/2001,178 cm,MF
Dimitar,Berbatov,30/01/1981,188 cm,FW
Dimitri,Payet,29/03/1987,175 cm,MF
Dimitrios,Konstantopoulos,29/11/1978,193 cm,GK
Dimitris,Giannoulis,17/10/1995,178 cm,DF
Diniyar,Bilyaletdinov,27/02/1985,178 cm,MF
Dino,Toppmöller,23/11/1980,188 cm,MF
Diogo,Dalot,18/03/1999,184 cm,DF
Diogo,Jota,04/12/1996,178 cm,FW
Diomansy,Kamara,08/11/1980,185 cm,FW
Dion,Dublin,22/04/1969,187 cm,FW
Dion,Henry,12/09/1997,180 cm,GK
Dion,Pereira,25/03/1999,175 cm,MF
Dionatan,Teixeira,24/07/1992,193 cm,DF
Dirk,Kuyt,22/07/1980,185 cm,FW
Divock,Origi,18/04/1995,185 cm,FW
DJ,Campbell,12/11/1981,178 cm,FW
Djair,Parfitt-Williams,01/10/1996,172 cm,FW
Djamel,Abdoun,14/02/1986,178 cm,MF
Djamel,Belmadi,25/03/1976,172 cm,MF
Djibril,Cissé,12/08/1981,183 cm,FW
Djibril,Sidibé,29/07/1992,182 cm,DF
Djimi,Traoré,01/03/1980,191 cm,DF
Dmitriy,Kharin,16/08/1968,187 cm,GK
Dodi,Lukébakio,24/09/1997,187 cm,MF
Do-heon,Kim,14/07/1982,175 cm,MF
Domingos,Quina,18/11/1999,173 cm,MF
Dominic,Ball,02/08/1995,184 cm,DF
Dominic,Calvert-Lewin,16/03/1997,187 cm,FW
Dominic,Foley,07/07/1976,185 cm,FW
Dominic,Gape,09/09/1994,180 cm,MF
Dominic,Matteo,24/04/1974,186 cm,DF
Dominic,Revan,19/09/2000,185 cm,DF
Dominic,Samuel,01/04/1994,182 cm,FW
Dominic,Solanke,14/09/1997,186 cm,FW
Dominic,Thompson,26/07/2000,183 cm,DF
Don,Cowie,15/02/1983,178 cm,MF
Don,Hutchison,09/05/1971,188 cm,MF
Donald,Love,02/12/1994,178 cm,DF
Doneil,Henry,20/04/1993,188 cm,DF
Donervon,Daniels,24/11/1993,186 cm,DF
Dong-gook,Lee,29/04/1979,185 cm,FW
Dong-won,Ji,28/05/1991,188 cm,FW
Doni,,22/10/1979,194 cm,GK
Donny,van de Beek,18/04/1997,184 cm,MF
Donovan,Ricketts,07/06/1977,194 cm,GK
Dorian,Dervite,25/07/1988,192 cm,DF
Doriva,,28/05/1972,175 cm,MF
Dorus,de Vries,29/12/1980,191 cm,GK
Dougie,Freedman,25/05/1974,175 cm,FW
Douglas,,29/08/1979,183 cm,MF
Douglas,Luiz,09/05/1998,177 cm,MF
Dušan,Tadić,20/11/1988,181 cm,FW
Dušan,Tadić,20/11/1988,181 cm,MF
Dujon,Sterling,24/10/1999,183 cm,MF
Duncan,Ferguson,27/12/1971,193 cm,FW
Duncan,Jupp,25/01/1975,183 cm,DF
Duncan,Spedding,07/09/1977,186 cm,MF
Duncan,Watmore,08/03/1994,175 cm,FW
Dwight,Gayle,17/10/1989,174 cm,FW
Dwight,McNeil,22/11/1999,183 cm,FW
Dwight,Pezzarossi,04/09/1979,187 cm,FW
Dwight,Tiendalli,21/10/1985,180 cm,DF
Dwight,Yorke,03/11/1971,182 cm,FW
Dylan,Levitt,17/11/2000,181 cm,MF
Dylan,Tombides,08/03/1994,180 cm,FW
Dynel,Simeu,13/03/2002,184 cm,DF
Earl,Barrett,28/04/1967,180 cm,DF
Easah,Suliman,26/01/1998,188 cm,DF
Eberechi,Eze,29/06/1998,173 cm,MF
Ebi,Smolarek,09/01/1981,178 cm,FW
Ebou,Adams,15/01/1996,???,MF
Ed,de Goey,20/12/1966,197 cm,GK
Ed,Turns,18/10/2002,182 cm,DF
Eddie,Johnson,20/09/1984,178 cm,FW
Eddie,Johnson,31/03/1984,183 cm,FW
Eddie,Lewis,17/05/1974,178 cm,MF
Eddie,McGoldrick,30/04/1965,178 cm,MF
Eddie,Murray,31/08/1973,180 cm,DF
Eddie,Newton,13/12/1971,180 cm,MF
Eddie,Nketiah,30/05/1999,180 cm,FW
Eddie,Nolan,05/08/1988,183 cm,DF
Eddie,Youds,03/05/1970,186 cm,DF
Eddy,Bosnar,29/04/1980,191 cm,DF
Eden,Hazard,07/01/1991,175 cm,FW
Ederson,,17/08/1993,188 cm,GK
Edgar,Davids,13/03/1973,169 cm,MF
Edimilson,Fernandes,15/04/1996,187 cm,MF
Edin,Džeko,17/03/1986,193 cm,FW
Edinson,Cavani,14/02/1987,184 cm,FW
Edmond,Abazi,29/11/1968,185 cm,MF
Edmond-Paris,Maghoma,08/05/2001,181 cm,MF
Edouard,Mendy,01/03/1992,196 cm,GK
Edu,Gaspar,16/05/1978,186 cm,MF
Eduardo,,19/09/1982,188 cm,GK
Eduardo,,25/02/1983,177 cm,FW
Eduardo,Vargas,20/11/1989,174 cm,FW
Edward,Rowe,17/10/2003,???,MF
Edwin,van der Sar,29/10/1970,197 cm,GK
Efan,Ekoku,08/06/1967,184 cm,FW
Eggert,Jónsson,18/08/1988,188 cm,MF
Egil,Østenstad,02/01/1972,183 cm,FW
Eiður,Guðjohnsen,15/09/1978,185 cm,FW
Eike,Immel,27/11/1960,187 cm,GK
Eirik,Bakke,13/09/1977,186 cm,MF
Elano,,14/06/1981,174 cm,MF
Eldin,Jakupović,02/10/1984,191 cm,GK
El-Hadji,Ba,05/03/1993,183 cm,MF
El-Hadji,Diouf,15/01/1981,180 cm,FW
Elia,Caprile,25/08/2001,191 cm,GK
Eliaquim,Mangala,13/02/1991,187 cm,DF
Elias,Kachunga,22/04/1992,178 cm,FW
Elias,Sørensen,18/09/1999,189 cm,FW
Elijah,Dixon-Bonner,01/01/2001,183 cm,MF
Eljero,Elia,13/02/1987,176 cm,FW
Elliot,Anderson,06/11/2002,179 cm,MF
Elliot,Embleton,02/04/1999,173 cm,MF
Elliot,Grandin,17/10/1987,178 cm,FW
Elliot,Lee,16/12/1994,180 cm,FW
Elliot,Omozusi,15/12/1988,179 cm,DF
Elliot,Parish,20/05/1990,188 cm,GK
Elliot,Watt,11/03/2000,175 cm,MF
Elliott,Bennett,18/12/1988,179 cm,MF
Elliott,Moore,16/03/1997,195 cm,DF
Elliott,Ward,19/01/1985,185 cm,DF
Ellis,Simms,05/01/2001,184 cm,FW
Elsad,Zverotić,31/10/1986,179 cm,DF
Elton,Monteiro,22/02/1994,192 cm,DF
Elvijs,Putniņš,12/06/1991,188 cm,GK
Elvis,Hammond,06/10/1980,177 cm,FW
Emanuel,Pogatetz,16/01/1983,191 cm,DF
Emanuel,Villa,24/02/1982,178 cm,FW
Emanuele,Giaccherini,05/05/1985,167 cm,MF
Emanuele,Morini,31/01/1982,173 cm,FW
Emerse,Faé,24/01/1984,174 cm,MF
Emerson,,03/08/1994,176 cm,DF
Emerson,,12/04/1972,186 cm,MF
Emerson,Hyndman,07/04/1996,175 cm,MF
Emerson,Royal,14/01/1999,183 cm,DF
Emil,Hallfreðsson,29/06/1984,185 cm,MF
Emil,Krafth,02/08/1994,184 cm,DF
Emile,Heskey,11/01/1978,188 cm,FW
Emile,Smith Rowe,28/07/2000,182 cm,MF
Emiliano,Buendia,25/12/1996,172 cm,FW
Emiliano,Insúa,07/01/1989,181 cm,DF
Emiliano,Martínez,02/09/1992,195 cm,GK
Emiliano,Viviano,01/12/1985,195 cm,GK
Emmanuel,Adebayor,26/02/1984,192 cm,FW
Emmanuel,Dennis,15/11/1997,175 cm,FW
Emmanuel,Eboué,04/06/1983,178 cm,DF
Emmanuel,Emenike,10/05/1987,182 cm,FW
Emmanuel,Frimpong,10/01/1992,178 cm,MF
Emmanuel,Longelo,27/12/2000,188 cm,MF
Emmanuel,Mayuka,21/11/1990,178 cm,FW
Emmanuel,Mendy,30/03/1990,175 cm,DF
Emmanuel,Olisadebe,22/12/1978,180 cm,FW
Emmanuel,Omoyimni,28/12/1977,168 cm,FW
Emmanuel,Petit,22/09/1970,185 cm,MF
Emmanuel,Rivière,03/03/1990,182 cm,FW
Emmerson,Boyce,24/09/1979,181 cm,DF
Emre,Belözoğlu,07/09/1980,170 cm,MF
Emre,Can,12/01/1994,186 cm,MF
Enda,Stevens,09/07/1990,183 cm,DF
Enner,Valencia,04/11/1989,177 cm,FW
Enock,Mwepu,01/01/1998,184 cm,MF
Enric,Vallès,01/03/1990,190 cm,MF
Eoin,Jess,13/12/1970,176 cm,FW
Erdal,Rakip,13/02/1996,178 cm,MF
Eric,Bailly,12/04/1994,187 cm,DF
Eric,Dier,15/01/1994,188 cm,DF
Eric,Djemba-Djemba,04/05/1981,174 cm,MF
Eric,García,09/01/2001,182 cm,DF
Eric,Lichaj,17/11/1988,180 cm,DF
Eric,Maxim Choupo-Moting,23/03/1989,191 cm,FW
Eric,Tinkler,30/07/1970,188 cm,MF
Eric,Young,25/03/1960,???,DF
Erik,Durm,12/05/1992,183 cm,DF
Erik,Edman,11/11/1978,179 cm,DF
Erik,Hagen,20/07/1975,185 cm,DF
Erik,Meijer,02/08/1969,189 cm,FW
Erik,Nevland,10/11/1977,177 cm,FW
Erik,Pieters,07/08/1988,183 cm,DF
Erik,Thorstvedt,28/10/1962,???,GK
Erland,Johnsen,05/04/1967,183 cm,DF
Erwin,Mulder,03/03/1989,193 cm,GK
Espen,Baardsen,07/12/1977,196 cm,GK
Essaïd,Belkalem,01/01/1989,190 cm,DF
Esteban,Cambiasso,18/08/1980,178 cm,MF
Esteban,Lopez,17/10/1976,182 cm,DF
Ethan,Ampadu,14/09/2000,182 cm,DF
Ethan,Ebanks-Landell,12/12/1992,188 cm,DF
Ethan,Fitzhugh,27/11/2002,170 cm,MF
Ethan,Galbraith,11/05/2001,175 cm,MF
Ethan,Hamilton,18/10/1998,187 cm,MF
Ethan,Laird,05/08/2001,177 cm,DF
Ethan,Pinnock,29/05/1993,194 cm,DF
Ethan,Robson,25/10/1996,178 cm,MF
Eunan,O'Kane,10/07/1990,168 cm,MF
Evan,Ferguson,19/10/2004,183 cm,FW
Evan,Horwood,10/03/1986,183 cm,DF
Evandro,,23/08/1986,179 cm,MF
Eyal,Berkovic,02/04/1972,170 cm,MF
Eyong,Enoh,23/03/1986,174 cm,MF
Ezekiel,Fryers,09/09/1992,185 cm,DF
Ezequiel,Schelotto,23/05/1989,188 cm,DF
Ezgjan,Alioski,12/02/1992,171 cm,DF
Ezri,Konsa,23/10/1997,183 cm,DF
Fábio,,09/07/1990,172 cm,DF
Fábio,Aurélio,24/09/1979,178 cm,DF
Fábio,Rochemback,10/12/1981,183 cm,MF
Fábio,Silva,19/07/2002,185 cm,FW
Fabián,Balbuena,23/08/1991,188 cm,DF
Fabián,Caballero,31/01/1978,188 cm,FW
Fabian,de Freitas,28/07/1972,185 cm,FW
Fabian,Delph,21/11/1989,174 cm,DF
Fabian,Delph,21/11/1989,174 cm,MF
Fabian,Schär,20/12/1991,186 cm,DF
Fabian,Wilnis,23/08/1970,180 cm,DF
Fabien,Barthez,28/06/1971,180 cm,GK
Fabinho,,14/03/1972,180 cm,DF
Fabinho,,23/10/1993,188 cm,MF
Fabio,Borini,29/03/1991,180 cm,FW
Fabio,Carvalho,30/08/2002,170 cm,MF
Fabio,Daprelà,19/02/1991,183 cm,DF
Fabio,Ferraresi,24/05/1979,181 cm,MF
Fabrice,Fernandes,29/10/1979,175 cm,MF
Fabrice,Muamba,06/04/1988,188 cm,MF
Fabricio,,31/12/1987,184 cm,GK
Fabricio,Coloccini,22/01/1982,184 cm,DF
Fabrizio,Ravanelli,11/12/1968,188 cm,FW
Facundo,Ferreyra,14/03/1991,183 cm,FW
Facundo,Sava,03/07/1974,184 cm,FW
Fangzhuo,Dong,23/01/1985,183 cm,FW
Faustino,Asprilla,10/11/1969,180 cm,FW
Faxe,Jensen,03/05/1965,178 cm,MF
Federico,Arias,24/04/1979,172 cm,FW
Federico,Bessone,23/01/1984,178 cm,DF
Federico,Fazio,17/03/1987,195 cm,DF
Federico,Fernández,21/02/1989,190 cm,DF
Federico,Macheda,22/08/1991,185 cm,FW
Felipe,Anderson,15/04/1993,175 cm,MF
Felipe,Caicedo,05/09/1988,183 cm,FW
Felix,Nmecha,10/10/2000,186 cm,MF
Femi,Seriki,28/04/2002,???,MF
Ferdinand,Coly,10/09/1973,180 cm,DF
Fernandinho,,04/05/1985,179 cm,MF
Fernando,,25/07/1987,183 cm,MF
Fernando,Amorebieta,29/03/1985,191 cm,DF
Fernando,Torres,20/03/1984,186 cm,FW
Ferrán,Torres,29/02/2000,184 cm,FW
Ferrie,Bodde,05/05/1982,179 cm,MF
Fikayo,Tomori,19/12/1997,184 cm,DF
Filip,Đuričić,30/01/1992,181 cm,MF
Filip,Benković,13/07/1997,194 cm,DF
Filip,Lesniak,14/05/1996,176 cm,MF
Filip,Marshall,24/04/2003,195 cm,GK
Filip,Oršula,25/02/1993,183 cm,FW
Filip,Stuparević,30/08/2000,184 cm,FW
Filipe,Luís,09/08/1985,182 cm,DF
Filipe,Oliveira,27/05/1984,178 cm,FW
Filipe,Teixeira,02/10/1980,176 cm,MF
Fin,Stevens,10/04/2003,177 cm,DF
Finidi,George,15/04/1971,189 cm,FW
Finley,Burns,17/06/2003,185 cm,DF
Fitz,Hall,20/12/1980,193 cm,DF
Fitzroy,Simpson,26/02/1970,175 cm,MF
Florent,Cuvelier,12/09/1992,182 cm,MF
Florent,Hadergjonaj,31/07/1994,182 cm,DF
Florent,Laville,07/08/1973,185 cm,DF
Florent,Malouda,13/06/1980,181 cm,MF
Florent,Sinama-Pongolle,20/10/1984,176 cm,FW
Florian,Lejeune,20/05/1991,190 cm,DF
Floribert,N'Galula,07/03/1987,183 cm,MF
Florin,Andone,11/04/1993,180 cm,FW
Florin,Gardoş,29/10/1988,193 cm,DF
Floyd,Ayité,15/12/1988,175 cm,FW
Folarin,Balogun,03/07/2001,179 cm,FW
Fons,Groenendijk,17/05/1964,182 cm,MF
Fousséni,Diabaté,18/10/1995,175 cm,FW
Frédéric,Gounongbe,01/05/1988,191 cm,FW
Frédéric,Guilbert,24/12/1994,178 cm,DF
Frédéric,Kanouté,02/09/1977,191 cm,FW
Frédéric,Nimani,08/10/1988,191 cm,FW
Frédéric,Piquionne,08/12/1978,188 cm,FW
Fraizer,Campbell,13/09/1987,172 cm,FW
Fran,Mérida,04/03/1990,174 cm,MF
François,Grenet,08/03/1975,180 cm,MF
Francesco,Baiano,24/02/1968,168 cm,FW
Francesco,Sanetti,11/01/1979,186 cm,FW
Francis,Benali,10/12/1968,178 cm,DF
Francis,Coquelin,13/05/1991,177 cm,MF
Francis,Jeffers,25/01/1981,178 cm,FW
Francisco,Santos,18/01/1992,172 cm,MF
Francisco,Sierralta,06/05/1997,192 cm,DF
Francisco,Trincão,29/12/1999,183 cm,FW
Franck,Rolling,23/08/1968,183 cm,FW
Franck,Songo'o,14/05/1987,178 cm,MF
Franck,Queudrue,27/08/1978,182 cm,DF
Franco,Di Santo,07/04/1989,193 cm,FW
Frank,Lampard,20/06/1978,183 cm,MF
Frank,Leboeuf,22/01/1968,183 cm,DF
Frank,McAvennie,22/11/1959,???,FW
Frank,Nouble,24/09/1991,190 cm,FW
Frank,Onyeka,01/01/1998,183 cm,MF
Frank,Simek,13/10/1984,183 cm,DF
Frank,Sinclair,03/12/1971,173 cm,DF
Frank,Talia,20/07/1972,186 cm,GK
Frank,Yallop,04/04/1964,180 cm,DF
Frank,Bennett,03/01/1969,170 cm,MF
Frankie,Maguire,29/07/2003,???,MF
Frankie,Sutherland,06/12/1993,175 cm,MF
Frankie,Ealing,14/07/2004,179 cm,DF
Franz,Carr,24/09/1966,170 cm,FW
Fraser,Forster,17/03/1988,201 cm,GK
Fraser,Fyvie,27/03/1993,172 cm,MF
Fraser,Hornby,13/09/1999,195 cm,FW
Fraser,Digby,23/01/1967,186 cm,GK
Frazer,Richardson,29/10/1982,180 cm,DF
Fred,,05/03/1993,169 cm,MF
Freddie,Ljungberg,16/04/1977,176 cm,MF
Freddie,Potts,12/09/2003,183 cm,MF
Freddie,Sears,27/11/1989,170 cm,FW
Freddie,Woodman,04/03/1997,188 cm,GK
Freddie,Ladapo,01/02/1993,185 cm,FW
Frederik,Alves Ibsen,08/11/1999,195 cm,DF
Fredi,Bobic,30/10/1971,188 cm,FW
Fredrik,Ulvestad,17/06/1992,183 cm,MF
Fredrik,Stoor,28/02/1984,183 cm,DF
Frode,Kippe,17/01/1978,194 cm,DF
Frode,Grodås,24/10/1964,188 cm,GK
Fumaca,,18/05/1973,186 cm,MF
FW,,,,
Gábor,Király,01/04/1976,190 cm,GK
Géovanni,,11/01/1980,171 cm,MF
Gérald,Forschelet,19/09/1981,187 cm,MF
Gökhan,Töre,20/01/1992,176 cm,MF
Gökhan,Inler,27/06/1984,183 cm,MF
Gaël,Clichy,26/07/1985,176 cm,DF
Gaël,Givet,09/10/1981,181 cm,DF
Gaël,Kakuta,21/06/1991,173 cm,FW
Gaël,Bigirimana,22/10/1993,175 cm,MF
Gaëtan,Bong,25/04/1988,183 cm,DF
Gabriel,Agbonlahor,13/10/1986,178 cm,FW
Gabriel,Heinze,19/04/1978,178 cm,DF
Gabriel,Jesus,03/04/1997,175 cm,FW
Gabriel,Martinelli,18/06/2001,180 cm,FW
Gabriel,Obertan,26/02/1989,186 cm,FW
Gabriel,Paletta,15/02/1986,190 cm,DF
Gabriel,Paulista,26/11/1990,187 cm,DF
Gabriel,Tamaş,09/11/1983,188 cm,DF
Gabriel,Zakuani,31/05/1986,186 cm,DF
Gabriel,,19/12/1997,190 cm,DF
Gabriele,Ambrosetti,07/08/1973,178 cm,FW
Gaetano,Giallanza,06/06/1974,182 cm,FW
Gaetano,Berardi,21/08/1988,179 cm,DF
Gai,Assulin,09/04/1991,170 cm,FW
Garath,McCleary,15/05/1987,187 cm,FW
Gareth,Bale,16/07/1989,185 cm,DF
Gareth,Bale,16/07/1989,185 cm,FW
Gareth,Bale,16/07/1989,185 cm,MF
Gareth,Barry,23/02/1981,184 cm,MF
Gareth,Edds,03/02/1981,183 cm,MF
Gareth,Evans,15/02/1981,183 cm,DF
Gareth,Farrelly,28/08/1975,183 cm,MF
Gareth,Graham,06/12/1978,170 cm,MF
Gareth,Grant,06/09/1980,178 cm,FW
Gareth,Hall,20/03/1969,173 cm,DF
Gareth,McAuley,05/12/1979,195 cm,DF
Gareth,McKeown,14/07/1983,177 cm,DF
Gareth,Ormshaw,08/07/1979,183 cm,GK
Gareth,Roberts,06/02/1978,173 cm,DF
Gareth,Southgate,03/09/1970,183 cm,DF
Gareth,Taylor,25/02/1973,186 cm,FW
Gareth,Whalley,19/12/1973,178 cm,MF
Gareth,Williams,16/12/1981,180 cm,MF
Gareth,Ainsworth,10/05/1973,178 cm,MF
Garry,Breen,17/03/1989,190 cm,DF
Garry,Monk,06/03/1979,183 cm,DF
Garry,O'Connor,07/05/1983,186 cm,FW
Garry,Parker,07/09/1965,180 cm,MF
Garry,Brady,07/09/1976,178 cm,MF
Gary,Alexander,15/08/1979,183 cm,FW
Gary,Blissett,26/06/1964,???,FW
Gary,Borrowdale,16/07/1985,183 cm,DF
Gary,Breen,12/12/1973,185 cm,DF
Gary,Browne,17/01/1983,178 cm,FW
Gary,Bull,12/06/1966,175 cm,FW
Gary,Cahill,19/12/1985,193 cm,DF
Gary,Caldwell,12/04/1982,180 cm,DF
Gary,Charles,13/04/1970,175 cm,DF
Gary,Croft,17/02/1974,175 cm,DF
Gary,Doherty,31/01/1980,188 cm,MF
Gary,Elkins,04/05/1966,176 cm,MF
Gary,Flitcroft,06/11/1972,180 cm,MF
Gary,Gardner,29/06/1992,186 cm,MF
Gary,Gillespie,05/07/1960,188 cm,MF
Gary,Hamilton,06/10/1980,175 cm,FW
Gary,Harkins,02/01/1985,183 cm,MF
Gary,Holt,09/03/1973,186 cm,MF
Gary,Hooper,26/01/1988,175 cm,FW
Gary,Kelly,09/07/1974,173 cm,DF
Gary,Locke,16/06/1975,173 cm,MF
Gary,Mabbutt,23/08/1961,178 cm,DF
Gary,McAllister,25/12/1964,186 cm,MF
Gary,McSheffrey,13/08/1982,173 cm,FW
Gary,Medel,03/08/1987,171 cm,MF
Gary,Megson,02/05/1959,178 cm,MF
Gary,Montgomery,08/10/1982,186 cm,GK
Gary,Naysmith,16/11/1978,178 cm,DF
Gary,Neil,16/08/1978,???,FW
Gary,Neville,18/02/1975,179 cm,DF
Gary,O'Neil,18/05/1983,178 cm,MF
Gary,O'Neill,27/01/1995,180 cm,MF
Gary,Pallister,30/06/1965,193 cm,DF
Gary,Penrice,23/03/1964,173 cm,MF
Gary,Poole,11/09/1967,183 cm,DF
Gary,Rowett,06/03/1974,182 cm,DF
Gary,Silk,13/09/1984,175 cm,DF
Gary,Speed,08/09/1969,180 cm,MF
Gary,Tallon,05/09/1973,180 cm,MF
Gary,Taylor-Fletcher,04/06/1981,180 cm,MF
Gary,Teale,21/07/1978,175 cm,MF
Gary,Twigg,19/03/1984,183 cm,MF
Gary,Twynham,08/02/1976,183 cm,MF
Gary,Walsh,21/03/1968,191 cm,GK
Gary,Ablett,19/11/1965,188 cm,DF
Gastón,Ramírez,02/12/1990,183 cm,MF
Gavin,Bassinder,24/09/1979,183 cm,DF
Gavin,Donoghue,03/03/1989,180 cm,DF
Gavin,Gunning,26/01/1991,187 cm,DF
Gavin,Holligan,30/06/1980,178 cm,FW
Gavin,Hoyte,06/06/1990,180 cm,DF
Gavin,Johnson,10/10/1970,180 cm,DF
Gavin,Kelly,03/06/1981,183 cm,GK
Gavin,Kilkenny,01/02/2000,170 cm,MF
Gavin,Mahon,02/01/1977,186 cm,MF
Gavin,McCann,10/01/1978,183 cm,MF
Gavin,McGowan,16/01/1976,180 cm,DF
Gavin,Peacock,18/11/1967,173 cm,MF
Gavin,Strachan,23/12/1978,178 cm,MF
Gavin,Ward,30/06/1970,191 cm,GK
Gavin,Bailey,10/10/1976,173 cm,FW
Gedion,Zelalem,26/01/1997,180 cm,MF
Gedson,Fernandes,09/01/1999,184 cm,MF
Geert,De Vlieger,16/10/1971,186 cm,GK
Gelson,Fernandes,02/09/1986,179 cm,MF
Geoff,Horsfield,01/11/1973,183 cm,FW
Geoff,Thomas,05/08/1964,178 cm,MF
Geoff,Cameron,11/07/1985,190 cm,DF
Geoffrey,Mujangi Bia,12/08/1989,180 cm,MF
George,Boateng,05/09/1975,182 cm,MF
George,Boyd,02/10/1985,178 cm,FW
George,Byers,29/05/1996,180 cm,MF
George,Dobson,15/11/1997,185 cm,MF
George,Elokobi,31/01/1986,186 cm,DF
George,Evans,13/12/1994,184 cm,MF
George,Friend,19/10/1987,188 cm,DF
George,Glendon,03/05/1995,177 cm,MF
George,Harmon,08/12/2000,163 cm,DF
George,Hirst,15/02/1999,191 cm,FW
George,Honeyman,08/09/1994,173 cm,MF
George,Marsh,05/11/1998,178 cm,MF
George,McCartney,29/04/1981,180 cm,DF
George,McEachran,30/08/2000,172 cm,MF
George,Moncur,18/08/1993,175 cm,MF
George,Ndah,23/12/1974,186 cm,FW
George,Pilkington,07/11/1981,183 cm,DF
George,Saville,01/06/1993,176 cm,DF
George,Thomas,24/03/1997,173 cm,FW
George,Thorne,04/01/1993,188 cm,MF
George,Weah,01/10/1966,184 cm,FW
George,Wickens,08/11/2001,183 cm,GK
George,Williams,07/09/1995,173 cm,FW
George,Baldock,09/03/1993,178 cm,DF
Georges-Kévin,N'Koudou,13/02/1995,172 cm,FW
Georgi,Hristov,30/01/1976,182 cm,FW
Georginio,Wijnaldum,11/11/1990,175 cm,MF
Georgios,Samaras,21/02/1985,193 cm,FW
Georgios,Donis,22/10/1969,180 cm,MF
Geraint,Williams,05/01/1962,173 cm,MF
Gerald,Sibon,19/04/1974,198 cm,FW
Gerald,Dobbs,24/01/1971,177 cm,MF
Gerard,Doherty,24/08/1981,188 cm,GK
